output,input,instruction
"This utility aims to simplify the process of adding a power grid into a floorplan. The aim is to specify a small set of power grid policies to be applied to the design, such as layers to use, stripe width and spacing, then have the utility generate the actual metal straps. Grid policies can be defined over the stdcell area, and over areas occupied by macros.",,What is PDNGEN
"The -switch_cell argument is used to specify the name of a coarse-grain power switch cell that is to be inserted whereever the stdcell rail connects to the rest of the power grid. The mesh layers are associated with the unswitched power net of the voltage domain, whereas the stdcell rail is associated with the switched power net of the voltage domain. The placement of a power switch cell connects the unswitched power mesh to the switched power rail through a power switch defined by the define_power_switch_cell command.",,-switch_cell argument in Pdn while doing Power switch insertion
"State of the art multiple-constraints driven partitioning “multi-tool”. Optimizes cost function based on user requirement. Permissive open-source license
Solves multi-way partitioning with following features: Multidimensional real-value weights on vertices and hyperedges, Multilevel coarsening and refinement framework, Fixed vertices constraint, Timing-driven partitioning framework, Group constraint: Groups of vertices need to be in same block, Embedding-aware partitioning",,Features of par
"The Detailed Routing (drt) module in OpenROAD is based on the open-source detailed router, TritonRoute. TritonRoute consists of several main building blocks, including pin access analysis, track assignment, initial detailed routing, search and repair, and a DRC engine. The initial development of the router is inspired by the ISPD-2018 initial detailed routing contest. However, the current framework differs and is built from scratch, aiming for an industrial-oriented scalable and flexible flow.",,Is TritonRoute the foundation of drt?
The structure of OpenDB is based on the text file formats LEF (library) and DEF (design) formats version 5.6. OpenDB supports a binary file format to save and load the design much faster than using LEF and DEF. OpenDB is written in C++ 98 with standard library style iterators. The classes are designed to be fast enough to base an application on without having to copy them into application-specific structures.,,What is the structure of OpenDB?
"FastRoute integrates several novel techniques: fast congestion-driven via- aware Steiner tree construction, 3-bend routing, virtual capacity adjustment, multi-source multi-sink maze routing and spiral layer assignment. These techniques not only address the routing congestion measured at the edges of global routing grids but also minimize the total wirelength and via usage, which is critical for subsequent detailed routing, yield and manufacturability. Experimental results show that FastRoute is highly effiective and efficient to solve ISPD07 and ISPD08 global routing benchmark suites. The results outperform recently published academic global routers in both routability and runtime. In particular, for ISPD07 and ISPD08 global routing benchmarks, FastRoute generates 12 congestion free solutions out of 16 benchmarks with a speed singifinicantly faster than other routers.",,"How is FastRoute better than previous routing frameworks?
"
"RTL­MP, a novel macro placer which utilizes RTL information and tries to “mimic” the interaction between the frontend RTL designer and the back­ end physical design engineer to produce human­quality floorplans. By exploiting the logical hierarchy and processing logical modules based on connection signatures, RTL­MP can capture the dataflow inherent in the RTL and use the dataflow information to guide macro placement.",,What does RTLMP do?
"Recently, with the increasing complexity of IP blocks, and in particular with auto-generated RTL for machine learning (ML) accelerators, the number of macros in a single RTL block can easily run into the several hundreds. This makes the task of generating an automatic floorplan (.def) with IO pin and macro placements for front-end physical synthesis even more critical and challenging. The so- called peripheral approach of forcing macros to the periphery of the layout is no longer viable when the ratio of the sum of the macro perimeters to the floorplan perimeter is large, since this increases the required stacking depth of macros. Thus, a novel multilevel physical planning approach that exploits the hierarchy and dataflow inherent in the design RTL, and describe its realization in a new hierarchical macro placer, Hier-RTLMP was developed. ",,What was the need to develop  Hier-RTLMP?
"Hier- RTLMP consists of autoclustering engine that transforms the logical hierarchy to a physical hierarchy. Unlike RTL- MP [51] where the physical hierarchy is a single level, Hier- RTLMP’s autoclustering engine creates a multilevel physical hierarchy of physical clusters. This enables handling of large RTLs with hundreds of macros, and allows for placement of macros within the core area.
",,What does Hier- RTLMP do which RTL-MP lacks?
"The first part of FastRoute framework is topology generation. Because FastRoute tries to avoid rip-up and reroute to reduce both wirelength and runtime, the initial tree topology has significant impacts. With the congestion-driven and via-aware topology, the next stage of FastRoute is actual routing. We find that there exists significant potential to improve traditional routing techniques in terms of via control and congestion reduction. The most commonly used routing techniques in global routing include L/Z/U pattern routing, monotonic routing and maze routing. In addition to new topology and routing techniques, Fast Route integrates several performance enhancement techniques to further improve routing quality and reduce run time. The last is, Spiral Layer Assignment





",,What are fast route techniques?
"Traditionally, global routing just uses tree structure like RMST or RSMT while RSMT is becoming more popular due to its minimal wirelength to connect a multi-pin net together.
",,Why is RSMT used more?
"There are generally two ways to generate solutions in Spiral Layer Assignment for 3D global routing benchmarks. One is running routing techniques and layer assignment concurrently. It overly complicates the problem and is rarely used. The other more popular way first projects the 3D benchmarks from aerial view, finds a solution for the 2D problem and expands the solution to multiple layers.
",,Which way is preferable for Spiral Layer Assignment?
Convert to debug message. Possibly add something that is more helpful as a progress message.,,"These following output doesn't really tell me anything about how far along the process is, what is going on and I can't use the information for anything, aren't actionable: Calling Partitioner,
[INFO PAR-0016] Partitioning using multilevel methodology."
The GUI is custom qt code and not applicable to the console. We rely on tclreadline there which apparently doesn't work well with imported namespaced.,,Tab completion does work in console mode but not in GUI mode.
"Suspending openroad and inspecting the stack trace, I find that it is spending its time here. It spends hours here.",,"I am creating a mock abstract of an SRAM to study the top level of the design. This is an SRAM that belongs to L2 in MegaBoom. So turnaround times are important here, not quality of results but turnaround time is alot, how to reduce that?"
These specific messages just inform the user of each stage of HierRTLMP flow,"[INFO MPL-0024] [Multilevel Autoclustering] Creating clustered netlist.
[INFO MPL-0039] [Coarse Shaping] Determining shape functions for clusters.
[INFO MPL-0028] [Hierarchical Macro Placement] Placing clusters and macros.
[INFO MPL-0037] Updated location of 95 macros
Delete buffers for RTLMP flow...
[INFO RSZ-0026] Removed 0 buffers.",What do these Debug output mean?
"Those arguments add a pad which is measured in cell sites to effectively make the cell appear wider. pad_left adds a pad to the left side, pad_right adds it to the right side",,"There is also nothing about -pad_right and -pad_left argument of the global_placement function, or the units of those arguments"
This is the intended behavior. Padding only impacts the way GPL (and DPL) sees the cells. If you were to use report_design_area then you would see the unpadded design utilization. There could be an enhancement to GPL to report both the padded and unpadded area I suppose.,,"The issue comes from the padding in GPL. Whenever I set it to 0 (set global_place_pad 2 & set detail_place_pad 1 in asap7_bottom.vars) then the proper DU is reported, I don't know if this is the intended behavior, but I feel like space padding present existing to facilitate routing should not influence the DU... "
"Yes, that's exactly the point. If you don't want padding in your design, then you should reduce it or turn it off. But be forewarned that padding is usually necessary to achieve a cleanly routed design. If you want to optimize for very high density designs, I believe you can also set padding on a master-by-master basis so that only the most difficult cells are padded. That would take some trial and error.",,"But wouldn't that reduce the maximum design utilization possible for a design ? Especially since OpenROAD wants to be automatic, GPL will stop everything if it sees a DU >100% even if it could be possible to achieve a reasonable DU with an equivalent padding ?"
"If you are using ORFS, the CORE_UTILIZATION (which is what I assume you are referring to) is actually not that well defined and usually isn't an indicator of the utilization you end up with.
After Yosys (synthesis) runs, you have a gate-level netlist. During floorplanning, the design area from this unmodified netlist is used to calculate how big the die and core sizes should be (design area / CORE_UTILIZATION = CORE_AREA). After it does that, the die and core areas are fixed.
The utilization will immediately go down because ORFS removes all buffers inserted by Yosys. The utilization will then go up again, usually by a lot, because OpenROAD does rebuffering and gate resizing in order to meet timing constraints. Timing constraints are critical and the algorithm does not factor in utilization targets at all. You could easily start with a design at 70% utilization during the initialization step, and then go up to 90% because of optimization. Once you add padding during GPL, utilization can exceed 100%.
Why aren't the tools smarter? Why doesn't it account for this area increase due to timing optimization? Well because you have to do the entire timing optimization to figure out how much area it will take up. Trying to estimate this is an active area of research.
Everything is a trial and error process. If for some reason you specifically need a 70% utilization, then I would suggest you extremely relax your timing constraints so that the optimizer doesn't need to add much. Otherwise, you should simply start with a lower utilization, allow timing optimization to do its thing, and then finish with approximately whatever target utilization you're after.",,I encountered an issue with CORE_UTILIZATION when trying to aim for a DU of 70% on the ASAP7 PDK which should be possible and reasonable for any design
