Description:,Function Name:,Parameters:,Return Type:
Get the openroad.Tech object,openroad.Tech(),,openroad.Tech
Read .lib files,openroad.Tech.readLiberty(,str(file_name),
Read .lef files,openroad.Tech.readLef(,str(file_name),
Get the openroad db via openroad.Tech object,openroad.Tech.getDB(),,odb.dbDatabase
Get the openroad.Design object,openroad.Design(,openroad.Tech,openroad.Design
Get the I/O pin placer,openroad.Design.getIOPlacer(),,ppl.IOPlacer
Use the name of the layer to get the odb.dbTechLayer object,openroad.Design.getTech().getDB().getTech().findLayer(,str(layer_name),odb.dbTechLayer
Get the parameters of the IO pin placer,ppl.IOPlacer.getParameters(,,ppl.Parameters
Set the minimum distance between each pin of the IO pin placer,ppl.Parameters.setMinDistance(,int(min_dist),
Get the setting of the minimum distance between each pin of the IO pin placer,ppl.Parameters.getMinDistance(),,int
"Set the unit for calling ppl.Parameters.setMinDistance(int) in ""number of tracks"" or in openroad's unit of the IO pin placer",ppl.Parameters.setMinDistanceInTracks(,bool(in_track),
"Check if the unit fot calling ppl.Parameters.setMinDistance(int) of the IO pin placer is in ""number of tracks"" or in openroad's unit, return True if is in ""number of tracks”",ppl.Parameters.getMinDistanceInTracks(),,bool
Get the floorplanner,openroad.Design.getFloorplan(),,ifp.InitFloorplan
"get the minimum placing unit of the design, the input is the name of the site desifned in the technology file",ifp.InitFloorplan.findSite(,str(site),odb.dbSite
"Create tracks, must call this after floorplanning",ifp.InitFloorplan.makeTracks(),,
"Perform floorplanning, utilization is in [0, 100]%. The base_site determines the single-height rows.  For hybrid rows it is a site containing a row pattern.",ifp.InitFloorplan.initFloorplan(,"float(utilization), float(aspect_ratio), int(core_space_bottom), int(core_space_top), int(core_space_left), int(core_space_right), odb.dbSite",
"Perform floorplanning, the base_site determines the single-height rows.  For hybrid rows it is a site containing a row pattern.",ifp.InitFloorplan.initFloorplan(,"odb.Rect(die), odb.Rect(core), odb.dbSite(base_site)",
Create an openroad.odb.Rect object,odb.Rect(,"int(x1), int(y1), int(x2), int(y2)",odb.Rect
Similar to openroad.get_db_block,openroad.Design.getBlock(),,odb.dbBlock
Get the name of the pin,openroad.Design.getITermName(,odb.dbITerm(),str
Check if a instance is a part of clock nets,openroad.Design.isInClock(,odb.dbInst(),bool
Read the Verilog files into OpenROAD,openroad.Design.readVerilog(,str(file_name),
Read the design file in DEF format (containing placement and routing information),openroad.Design.readDef(,str(file_name),
Find the top module of the Verilog file and connect all other modules. The Verilog files must be read into OpenROAD first.,openroad.Design.link(,str(design_name),
Read the design file written in OpenROAD database format,openroad.Design.readDb(,str(file_name),
Write the design file in OpenROAD database format,openroad.Design.writeDb(,str(file_name),
