Description:,Code Piece:
Template of reading .lib (liberty) files,"from openroad import Tech
from pathlib import Path

tech = Tech()
# Set file path
libDir = Path(""lib_path"")
libFiles = libDir.glob(""*.lib"")
# Read .lib files
for libFile in libFiles:
  tech.readLiberty(libFile.as_posix())"
Template of reading .lef files,"from openroad import Tech
from pathlib import Path

tech = Tech()
# Set file path
lefDir = Path(""lef_path"")
lefFiles = lefDir.glob('*.lef')
# Read .lef files
for lefFile in lefFiles:
  tech.readLef(lefFile.as_posix())"
Template of reading technology files,"from openroad import Tech
from pathlib import Path

tech = Tech()
# Set file path
techlefDir = Path(""techlef_path"")
techLefFiles = lefDir.glob(""*.tech.lef"")
# Read tech files
for techLefFile in techLefFiles:
  tech.readLef(techLefFile.as_posix())"
Template of reading verilog files (reading netlist file),"from openroad import Tech, Design
from pathlib import Path

tech = Tech()
design = Design(tech)
design_top_module_name = ""design_top_module_name""
# Read design files
design.readVerilog(""verilogFile"")
design.link(design_top_module_name)"
Template of reading OpenROAD design file in .odb format,"from openroad import Tech, Design

tech = Tech()
# Make sure you have files read into OpenROAD DB
design = Design(tech)
design.readDb(""xxx.odb"")"
Template of reading DEF (.def) files,"from openroad import Tech, Design

tech = Tech()
design = Design(tech)
design.readDef(""defFile"")"
Template of creating and propagate the clock signal,"from openroad import Tech, Design

tech = Tech()
design = Design(tech)
clock_period = 200
port_name = ""port_name""
clock_name = ""clock_name""
# Create clock signal
design.evalTclString(""create_clock -period %s [get_ports %s] -name %s""%(clock_period, port_name, clock_name))
# Propagate the clock signal
design.evalTclString(""set_propagated_clock [all_clocks]"")"
Template of running floorplanning with utilization rate (hight/width),"from openroad import Tech, Design

tech = Tech()
design = Design(tech)

floorplan = design.getFloorplan() 
# Set the floorplan utilization to 50% 
floorplan_utilization = 50 
# Set the aspect ratio of the design (height/width) as 1 
floorplan_aspect_ratio = 1 
# Set the spacing between core and die as 5 
floorplan_core_spacing = [design.micronToDBU(5) for i in range(4)] 
# Find the site in lef
site = floorplan.findSite(""site_name"")
floorplan.initFloorplan(floorplan_utilization, floorplan_aspect_ratio,  
                        floorplan_core_spacing[0], floorplan_core_spacing[1], 
                        floorplan_core_spacing[2], floorplan_core_spacing[3], site) 
floorplan.makeTracks()"
Template of running floorplanning with specific die and core area,"from openroad import Tech, Design

tech = Tech()
design = Design(tech)

floorplan = design.getFloorplan() 
# Set the core and die area 
die_area = odb.Rect(design.micronToDBU(0), design.micronToDBU(0),  
  design.micronToDBU(45), design.micronToDBU(45)) 
core_area = odb.Rect(design.micronToDBU(5), design.micronToDBU(5),  
  design.micronToDBU(40), design.micronToDBU(40) 
# Find the site in lef
site = floorplan.findSite(""site_name"")
floorplan.initFloorplan(die_area, core_area, site) 
floorplan.makeTracks()"
Template of placing I/O pins (ports),"from openroad import Tech, Design

tech = Tech()
design = Design(tech)

params = design.getIOPlacer().getParameters()
params.setRandSeed(42)
params.setMinDistanceInTracks(False)
params.setMinDistance(design.micronToDBU(0))
params.setCornerAvoidance(design.micronToDBU(0))
# Place the pins on M8 and M9
design.getIOPlacer().addHorLayer(design.getTech().getDB().getTech().findLayer(""M8""))
design.getIOPlacer().addVerLayer(design.getTech().getDB().getTech().findLayer(""M9""))
IOPlacer_random_mode = True
design.getIOPlacer().run(IOPlacer_random_mode)"
Template of running global placement,"from openroad import Tech, Design

tech = Tech()
design = Design(tech)

gpl = design.getReplace()
gpl.setTimingDrivenMode(False)
gpl.setRoutabilityDrivenMode(True)
gpl.setUniformTargetDensityMode(True)
# Set the max iteration of global placement to 30 times
gpl.setInitialPlaceMaxIter(30)
gpl.setInitDensityPenalityFactor(0.05)
gpl.doInitialPlace()
gpl.doNesterovPlace()
gpl.reset()"
Template of running macro placer,"from openroad import Tech, Design
import odb

tech = Tech()
design = Design(tech)

macros = [inst for inst in ord.get_db_block().getInsts() if inst.getMaster().isBlock()] 
if len(macros) > 0:
  mpl = design.getMacroPlacer()
  # Set the halo around macros to 5 microns
  mpl_halo_x, mpl_halo_y = 5, 5
  mpl.setHalo(mpl_halo_x, mpl_halo_y)
  # Set the channel width between macros to 5 microns
  mpl_channel_x, mpl_channel_y = 5, 5
  mpl.setChannel(mpl_channel_x, mpl_channel_y)
  # Set the fence region as a user defined area in microns
  design.getMacroPlacer().setFenceRegion(15, 30, 10, 40)
  # Snap the macro to layer M4 (usually M4)
  layer = design.getTech().getDB().getTech().findLayer(""M4"")
  mpl.setSnapLayer(layer)
  # Or using mpl.placeMacrosCornerMaxWl()
  mpl.placeMacrosCornerMinWL()"
Template of running detailed placement,"from openroad import Tech, Design
import odb

tech = Tech()
design = Design(tech)

site = design.getBlock().getRows()[0].getSite()
# Set the max displacement on the x and y direction with 1 and 3 um
max_disp_x = int(design.micronToDBU(1) / site.getWidth())
max_disp_y = int(design.micronToDBU(3) / site.getHeight())
design.getOpendp().detailedPlacement(max_disp_x, max_disp_y, """", False)"
Template of running CTS (clock tree synthesis),"from openroad import Tech, Design

tech = Tech()
design = Design(tech)

design.evalTclString(""set_propagated_clock [core_clock]"")
design.evalTclString(""set_wire_rc -clock -resistance 0.03574 -capacitance 0.07516"")
design.evalTclString(""set_wire_rc -signal -resistance 0.03574 -capacitance 0.07516"")

cts = design.getTritonCts()
parms = cts.getParms()
parms.setWireSegmentUnit(20)
# Can choose different buffer cells for cts
cts.setBufferList(""BUF_X2"")
cts.setRootBuffer(""BUF_X2"")
cts.setSinkBuffer(""BUF_X2"")
cts.runTritonCts()

site = design.getBlock().getRows()[0].getSite()
max_disp_x = int(design.micronToDBU(1) / site.getWidth())
max_disp_y = int(design.micronToDBU(3) / site.getHeight())
design.getOpendp().detailedPlacement(max_disp_x, max_disp_y, """", False)"
Template of placing filler cells,"from openroad import Tech, Design

tech = Tech()
design = Design(tech)

db = ord.get_db()
filler_masters = list()
# Filler cell prefix may be different when using different library
filler_cells_prefix = ""filler_.*""
for lib in db.getLibs():
  for master in lib.getMasters():
    master_name = master.getConstName()
    if re.fullmatch(filler_cells_prefix, master_name) != None:
      filler_masters.append(master)
if len(filler_masters) == 0:
  print(""wrong filler cell prefix"")
else:
  design.getOpendp().fillerPlacement(filler_masters, filler_cells_prefix)"
